ethnicity,lgr,sex,agegrp,qualification,occupation,hours,income
1,2,1,20,2,2,40,1122
1,2,2,40,2,2,40,1628
1,4,1,15,2,10,0,0
3,2,1,15,1,10,0,0
1,10,2,65,1,10,0,251
1,12,2,30,4,10,0,0
1,2,1,25,2,10,0,213
1,2,2,60,1,1,40,1166
4,2,1,35,5,3,65,801
34,3,2,45,2,4,40,859
1,1,1,65,3,8,50,1052
1,11,1,40,4,1,52,224
1,2,1,40,3,2,40,576
1,1,2,55,3,10,0,132
1,4,2,45,3,10,0,763
1,3,1,20,2,4,10,487
1,10,1,20,5,10,0,356
1,4,2,40,2,10,0,0
4,8,1,65,1,10,0,271
3,2,2,50,5,10,0,315
1,1,1,65,3,6,37,811
4,2,1,65,1,7,14,317
1,4,1,65,1,10,0,296
1,5,1,65,1,10,0,1129
1,10,2,25,4,2,0,1036
1,2,2,60,2,2,30,1017
1,2,1,25,2,3,0,3861
4,2,2,15,3,10,0,0
1,1,1,30,3,1,40,1646
2,8,1,30,2,2,50,1157
1,8,1,35,4,10,0,302
1,2,1,60,3,1,0,432
12,4,1,50,1,7,40,711
1,1,1,55,2,7,40,627
1,6,2,25,1,7,7.5,624
1,10,1,20,2,3,40,504
1,10,2,25,3,6,40,605
4,2,1,45,4,10,0,467
1,9,2,50,4,2,37.5,1992
12,10,1,20,3,1,40,907
1,8,1,45,2,8,40,624
1,4,1,60,4,2,0,1735
1,8,1,40,3,6,50.5,836
1,8,1,15,1,10,0,0
1,5,1,45,1,7,0,305
1,2,1,25,1,3,42,739
1,4,1,30,3,2,30,945
1,10,2,65,2,10,0,7
2,5,2,20,2,10,0,423
1,2,1,40,3,3,50,983
12,4,2,65,2,10,0,422
3,2,2,15,3,7,48,1125
1,7,1,15,1,10,0,0
4,2,2,15,2,10,0,0
1,10,1,45,2,6,0,535
1,8,2,20,2,6,45,814
1,7,2,25,2,10,0,208
4,2,2,20,2,10,0,0
1,9,1,65,3,10,0,312
3,2,2,20,1,10,0,453
1,2,1,55,4,1,49,1659
1,2,2,30,4,2,32,790
1,2,2,50,3,1,40,2356
4,2,1,15,2,3,40,504
4,2,2,45,1,2,32,813
4,2,2,60,5,8,31.5,751
2,2,2,65,1,10,0,275
1,10,1,60,3,7,40,673
1,11,1,65,1,10,0,248
1,2,2,60,3,6,40,1080
1,8,1,50,3,3,52,648
2,3,1,30,1,1,0,138
3,8,2,65,1,10,0,372
1,9,2,45,3,1,40,1471
13,2,2,25,4,1,40,1899
1,2,2,65,3,10,0,0
1,4,2,60,5,5,6,199
1,4,1,65,3,10,0,173
1,5,2,55,3,4,39,796
1,3,2,30,3,5,0,-274
1,2,1,40,3,4,40,1554
1,2,1,35,3,1,40,1371
1,1,1,60,5,8,47,1066
4,2,1,35,3,10,0,334
1,9,2,50,3,1,12,458
1,3,2,30,4,5,40,579
1,10,2,65,1,8,40,504
1,10,1,45,2,2,15,643
1,10,2,15,1,10,0,428
1,10,2,65,1,10,0,579
4,2,2,30,1,3,0,1899
3,8,1,40,4,2,40,1001
1,11,1,30,3,1,53,1827
1,4,2,40,2,10,0,1130
3,2,2,20,1,10,0,0
1,2,2,25,3,5,37.5,633
1,10,2,45,2,8,40,495
1,10,1,35,3,1,45,2173
1,7,1,35,2,7,40,554
1,5,2,65,1,10,0,394
1,2,1,25,5,3,50,853
13,4,1,15,1,10,0,0
1,3,2,25,2,10,0,525
1,2,1,55,1,7,40.5,611
2,9,1,40,3,10,0,0
1,2,2,40,2,5,10,117
1,2,1,60,3,1,0,1266
1,12,2,25,5,6,7.5,142
4,7,2,20,2,6,0,0
1,7,1,55,1,10,0,366
2,7,1,40,1,10,0,536
4,4,2,30,1,8,0,220
1,10,2,25,4,2,50,1312
12,3,2,30,2,10,0,512
4,2,1,45,4,10,0,459
1,10,2,50,1,10,0,0
4,10,2,65,1,3,38.5,1135
2,2,2,25,1,10,0,0
1,3,2,20,2,2,27,437
4,8,1,60,1,10,0,32
1,2,2,45,2,5,29.5,637
1,10,2,15,1,10,0,792
1,11,2,40,3,4,60,2025
1,7,2,65,4,1,40,2442
1,3,1,65,3,5,25,1443
1,5,2,60,5,2,40,2232
2,11,1,65,1,10,0,331
3,2,1,55,5,10,0,204
1,8,1,50,4,1,40,2532
1,8,2,35,5,2,35,1759
13,2,2,25,3,5,40,695
1,3,2,55,1,5,33,865
1,10,2,40,3,2,27,1033
1,8,2,25,3,3,40,612
6,2,2,35,4,2,40,1730
1,10,2,65,1,10,0,207
6,10,1,55,3,7,40,600
4,2,2,25,2,10,0,242
1,10,1,45,3,3,40,1012
4,8,2,25,1,10,0,447
1,10,2,45,4,6,43.5,901
1,10,1,55,4,1,40,1085
1,5,1,55,2,3,40,844
3,3,1,40,3,10,0,109
1,2,1,25,4,2,40,1181
4,2,1,25,4,4,37.5,296
1,2,2,65,1,8,39,695
1,8,2,35,3,3,40,880
3,2,2,15,1,10,0,0
1,2,1,25,4,2,41,977
1,8,2,30,3,5,50,975
1,8,2,40,4,1,30,614
1,2,1,15,2,4,0,550
1,2,1,25,3,1,42,1404
3,8,2,65,3,10,0,452
1,2,1,55,3,1,40,755
1,5,1,35,4,10,0,0
1,8,2,25,5,4,40,902
4,11,2,15,1,10,0,0
1,9,1,65,3,10,0,605
1,10,2,65,1,7,4,128
1,2,2,55,3,10,0,435
1,3,1,25,1,6,40,648
1,2,1,40,3,6,40,781
1,1,2,65,1,10,0,158
1,1,1,45,1,7,40,660
1,4,1,50,3,7,48,924
1,10,2,45,3,2,40,863
1,5,2,65,5,10,0,204
1,9,2,65,1,10,0,0
4,2,1,15,1,10,0,473
1,11,2,65,4,10,0,0
1,2,1,35,3,3,22.5,434
1,10,2,55,2,8,10,136
1,7,1,40,3,3,40,1326
1,10,2,25,3,5,14,234
1,10,1,60,2,3,0,811
1,2,1,20,5,10,0,0
1,12,2,45,3,3,12,162
1,8,1,55,4,2,27,1119
1,12,1,65,3,4,40,1482
1,3,1,55,1,6,40,863
1,5,2,40,2,10,0,1545
2,6,1,15,2,10,0,0
1,3,1,25,3,2,52.5,762
1,1,2,60,1,10,0,365
1,2,2,35,4,2,32,773
13,12,2,30,5,6,0,1363
4,2,1,45,4,2,60,5268
1,2,2,65,1,10,0,234
1,4,1,45,4,10,0,0
6,9,1,35,1,2,40,1688
1,2,1,55,2,5,45,1932
4,2,2,20,2,10,0,14
1,2,1,65,1,10,0,273
1,2,1,20,3,7,40,531
3,2,1,65,1,10,0,432
4,2,2,20,3,4,25,384
4,2,1,15,2,10,0,0
12,9,1,15,1,10,0,234
4,8,2,25,4,2,40,761
1,12,1,65,3,1,50,1341
1,9,2,65,3,10,0,360
1,2,1,25,3,1,0,1112
1,11,2,65,1,10,0,209
1,2,1,20,3,3,40,576
1,12,2,15,1,10,0,329
1,7,2,65,1,10,0,0
1,8,1,65,5,10,0,1334
1,2,2,55,1,1,19,744
1,1,1,65,1,10,0,155
1,4,2,40,4,2,48,1270
1,11,2,60,2,6,30,672
1,8,2,35,2,6,4,203
1,1,2,15,1,10,0,0
1,1,2,45,1,4,0,328
1,11,1,25,3,3,0,1110
1,2,2,15,2,3,40,638
1,10,1,45,2,7,50,1253
1,8,1,30,2,5,16,-173
1,10,1,45,2,8,0,265
1,8,2,65,1,10,0,431
2,2,1,65,2,10,0,0
1,3,2,50,3,10,0,370
3,2,1,60,3,8,10,169
1,3,2,65,1,8,20,581
1,6,1,50,2,6,0,1688
5,2,1,65,1,10,0,228
1,3,1,40,1,1,0,14782
1,11,1,30,3,3,15,270
1,2,1,35,3,3,45,1519
1,7,1,45,1,2,40,1266
13,7,2,45,3,3,20,403
1,5,2,30,3,2,16,622
1,4,1,65,2,8,20.5,448
4,4,2,20,2,5,40,587
1,6,1,45,4,2,45,921
2,2,1,35,1,1,40,1519
1,11,2,50,2,1,39,1153
1,2,2,60,5,3,40,960
2,10,1,40,3,8,0,428
1,10,1,55,3,3,45,1719
2,1,2,40,1,6,9,179
1,11,1,55,2,1,40,970
1,1,2,40,3,2,40,1609
1,10,2,65,2,10,0,791
4,2,1,15,2,2,40,638
1,7,2,55,2,1,40,633
1,10,2,65,3,10,0,126
2,4,1,35,4,10,0,584
4,2,1,25,4,10,0,256
1,3,2,65,1,10,0,1160
4,2,1,30,4,2,40,907
1,5,1,55,3,3,37,1308
1,7,1,40,3,4,50,872
1,11,2,50,4,10,0,360
1,2,2,65,1,10,0,235
1,3,2,35,3,4,0,345
1,8,1,60,1,2,40,1139
1,8,1,65,1,10,0,331
1,2,1,65,4,1,40,4965
2,2,2,60,3,10,0,276
1,2,2,45,4,2,32,889
1,2,2,20,3,2,40,949
1,6,2,60,3,4,37,738
1,11,2,30,3,4,32,581
2,8,1,30,1,10,0,0
1,10,1,55,4,5,40,720
2,4,2,15,1,10,0,1092
1,10,1,15,2,10,0,457
1,7,1,50,4,2,40,1267
1,3,2,65,1,10,0,439
1,3,2,55,3,3,4,72
1,2,2,65,1,10,0,330
2,11,2,40,1,2,26,312
12,4,1,15,2,1,50,976
1,10,2,55,2,5,33.5,577
1,8,2,20,2,10,0,350
3,2,1,20,2,1,45,543
4,10,2,25,4,2,27.5,2123
4,10,2,25,4,2,50,1419
1,2,1,45,5,3,37,1829
1,2,1,50,4,3,30,1834
1,7,1,15,1,10,0,0
1,10,1,60,1,10,0,463
1,1,2,65,1,10,0,0
1,9,1,50,1,7,42,1108
13,9,1,35,1,2,66,600
1,7,2,55,3,2,0,422
1,2,1,65,1,10,0,0
1,2,2,35,4,2,40,1032
1,3,2,25,1,10,0,816
1,9,2,15,3,10,0,373
2,2,1,60,1,8,9,320
1,2,1,45,2,2,41.5,746
1,10,1,65,3,2,7.5,217
1,10,2,55,3,5,38.5,624
1,2,1,40,4,2,40,1916
1,7,2,65,1,10,0,444
1,10,2,45,1,8,0,332
1,8,2,25,3,4,40,1882
1,10,1,15,3,1,40,1121
3,2,2,20,3,8,5,68
1,3,2,45,4,2,0,1056
4,8,1,20,4,2,30,1404
1,10,1,45,3,3,40,1498
1,2,2,20,2,1,60,1721
1,4,2,45,3,6,40,742
1,12,2,65,3,10,0,171
1,4,1,20,2,2,37.5,1504
1,4,1,30,3,1,0,779
1,9,2,65,3,3,6.5,143
1,2,2,65,2,8,10,186
1,4,1,45,5,2,62.5,412
1,12,1,20,3,5,9,130
1,10,2,20,5,6,30,513
3,2,2,25,5,1,40,571
1,10,2,20,1,10,0,1960
4,2,2,55,2,1,35.5,1231
2,7,1,15,1,2,20,304
4,2,2,50,4,2,40,1187
1,2,2,50,3,7,40,576
1,10,2,15,2,10,0,0
1,3,2,65,1,10,0,496
1,10,1,35,2,2,40,844
1,3,2,55,2,1,30,691
2,3,2,65,3,2,37.5,939
1,8,2,30,4,10,0,655
1,5,1,65,1,10,0,69
4,2,1,25,4,5,42.5,390
1,4,2,30,4,2,0,-207
1,3,1,65,1,10,0,265
1,2,2,50,1,4,40,1266
4,3,2,50,4,3,40,630
1,2,1,25,3,3,41,480
1,2,2,25,4,6,30,486
1,2,2,45,2,8,0,202
1,10,1,65,1,10,0,428
1,6,2,65,2,10,0,326
1,8,1,55,1,5,2,33
1,2,2,65,2,2,40,1087
4,2,1,40,4,5,0,3165
1,2,2,40,1,10,0,249
1,2,2,40,3,7,40,1355
1,2,2,20,4,2,2,29
1,11,1,55,1,3,0,11
1,10,1,45,1,1,0,204
1,10,2,40,2,6,16,272
1,4,2,50,3,5,21,612
4,1,2,25,1,8,14,845
1,2,2,50,4,4,28,495
1,8,2,40,3,1,40,1097
6,2,2,15,1,10,0,0
4,7,2,20,3,5,40,635
1,9,2,45,5,2,25,854
2,5,2,65,1,10,0,0
12,10,1,25,3,10,0,281
12,2,1,15,2,10,0,160
1,11,2,40,3,10,0,304
1,2,1,25,4,1,55,1028
1,7,2,65,3,10,0,423
24,3,2,35,2,2,33.5,1212
4,2,1,40,3,8,40,613
3,2,2,25,3,10,0,929
1,4,2,30,3,5,40,898
1,2,1,20,3,3,21,394
1,10,2,55,3,2,42,1220
2,1,2,15,5,10,0,0
1,2,2,30,2,5,41,331
1,2,2,65,1,10,0,401
1,10,2,65,1,10,0,339
14,8,1,35,3,6,44,1086
1,2,1,20,4,2,37,832
1,6,1,35,3,1,48,810
1,10,2,35,2,8,37,1502
6,2,2,35,4,10,0,0
4,2,1,15,2,10,0,0
1,3,2,15,2,10,0,0
1,2,2,60,2,10,0,352
1,3,1,35,2,1,40,1614
1,2,1,45,3,4,50,1652
1,10,1,50,2,4,0,382
1,2,1,60,5,3,44,7393
1,3,1,15,2,10,0,0
1,5,2,65,1,5,0,608
4,8,1,20,2,10,0,542
1,8,2,30,5,8,38,732
1,12,1,35,3,8,41.5,968
9,10,2,25,5,10,0,355
23,7,2,15,1,10,0,0
4,11,1,50,2,7,0,739
1,11,1,15,2,10,0,0
1,2,1,30,4,6,32,518
1,11,2,55,4,2,0,277
1,3,2,40,1,5,40,823
1,5,2,15,2,10,0,0
1,3,1,50,5,2,60,972
1,9,2,60,3,10,0,330
1,8,2,50,3,6,80,2611
1,9,2,50,2,2,0,311
1,3,1,30,4,1,42.5,1125
1,2,1,20,2,2,42,748
1,11,1,50,3,3,0,1893
1,7,1,55,3,3,40,708
1,8,1,15,2,10,0,0
15,10,1,25,3,1,22,-127
1,9,2,15,2,10,0,0
1,2,1,20,2,4,12,413
12,8,2,25,3,4,10,483
1,11,2,45,4,1,40,864
2,8,1,20,3,10,0,259
1,5,2,50,3,5,10,651
2,2,2,20,1,10,0,412
1,8,2,50,3,2,0,-345
1,8,2,40,4,2,0,318
1,12,2,35,3,10,0,0
1,9,2,65,1,4,38.5,846
1,3,2,20,4,2,15,1485
1,1,1,50,2,4,40,2004
1,11,1,45,3,10,0,279
1,8,2,45,4,1,16,334
1,4,2,65,2,4,0,300
1,4,1,30,3,3,0,0
1,1,1,15,5,10,0,0
1,2,2,25,4,2,43.5,2109
1,9,2,60,1,10,0,191
1,3,2,50,3,3,55,952
4,10,2,15,1,10,0,0
1,9,2,65,1,10,0,364
2,2,1,55,1,3,60,3330
4,2,2,25,4,10,0,0
12,4,1,15,2,10,0,0
1,9,2,40,1,8,20,335
1,10,2,20,2,5,24,1123
1,10,1,50,4,2,40,1467
1,7,1,45,1,8,40,734
1,3,2,15,2,10,0,0
4,2,1,50,3,3,40,844
13,2,1,50,1,10,0,473
1,2,2,50,3,4,15,270
1,12,1,20,3,8,32,641
1,2,1,30,3,2,40,793
4,2,1,35,2,10,0,224
1,11,2,65,2,10,0,220
1,3,2,65,1,10,0,0
1,10,1,40,4,2,0,2004
1,3,1,65,1,10,0,452
1,2,2,65,1,2,40,1097
12,1,1,25,1,8,40,648
1,5,1,60,3,3,0,307
1,7,2,20,2,4,35,443
1,8,2,65,3,7,10,744
1,2,2,30,3,4,60,1033
1,8,1,40,3,3,0,1415
1,11,2,50,3,6,40,1266
1,2,1,20,3,7,40,612
1,2,1,35,4,2,23,269
1,9,2,35,4,2,27,1165
1,3,1,40,1,1,40,1562
1,8,1,65,4,3,32,1245
1,4,2,65,1,10,0,-173
1,10,2,25,3,10,0,216
1,3,1,15,2,6,37.5,886
1,2,1,20,2,10,0,230
1,3,2,60,1,10,0,205
12,5,1,45,3,7,45,1356
1,10,2,60,1,1,6,196
1,8,2,65,5,6,0,1070
1,1,2,30,4,2,29.5,703
2,5,2,50,4,5,24,417
3,2,2,40,1,10,0,0
1,6,1,40,3,3,40,1156
1,8,2,55,4,2,6.5,111
4,2,2,25,4,2,40,880
1,3,1,55,4,6,40,720
1,2,1,20,2,8,36,782
1,2,1,50,4,5,40,576
34,1,1,25,1,8,40,1188
1,3,2,35,2,10,0,422
1,10,2,15,2,10,0,0
2,4,2,25,3,10,0,135
4,4,1,30,3,10,0,446
1,8,1,25,3,3,51,1236
1,10,2,45,4,2,40,1412
3,8,2,35,2,2,18,462
1,6,2,35,1,6,25.5,342
12,2,1,50,4,2,0,0
1,9,2,15,1,10,0,436
1,10,2,50,4,3,30,528
1,2,2,30,4,2,30,639
3,2,2,30,2,2,8,330
1,1,2,30,2,10,0,88
1,7,2,40,2,6,40,1374
1,3,2,35,4,1,17,1530
12,1,2,35,3,4,32,579
1,2,1,45,3,3,0,207
1,1,1,60,2,8,0,217
1,10,2,65,1,8,34,732
1,2,2,40,2,10,0,165
1,3,1,20,1,8,45,648
1,9,1,65,1,10,0,315
13,2,1,20,3,7,28,350
1,3,1,50,1,10,0,690
1,10,1,40,3,3,40,806
1,7,2,65,1,10,0,264
1,3,2,65,1,7,0,179
1,10,2,25,3,4,40,738
3,2,2,55,3,3,40,504
1,2,2,50,2,1,21,706
4,10,2,35,2,10,0,331
12,5,2,20,3,2,15,231
4,5,2,25,4,1,40,1571
1,2,1,45,4,10,0,322
1,7,2,35,2,6,30,848
1,5,1,45,3,3,0,844
1,3,2,65,5,10,0,0
6,2,1,45,5,9,40,777
1,7,1,60,3,1,40,884
4,2,2,45,4,4,37,0
4,10,2,15,1,10,0,0
6,12,2,60,1,10,0,-169
1,10,1,65,4,10,0,0
1,4,2,50,3,5,40,863
1,4,2,65,1,10,0,0
1,4,2,30,3,2,0,263
1,9,1,45,4,10,0,32
1,11,2,25,4,2,24,990
12,7,1,20,5,1,52,679
1,3,2,65,1,10,0,283
1,11,2,65,2,10,0,0
1,7,1,45,5,8,40,1266
1,8,1,25,3,7,49.5,1372
1,1,1,30,2,1,57,2221
1,2,2,50,2,1,6,228
1,3,1,55,1,1,22,0
1,6,2,65,2,10,0,329
1,1,2,55,3,10,0,87
1,10,1,65,3,3,40,1266
1,10,2,40,1,5,43,586
1,10,2,25,3,1,40,485
1,10,2,65,1,10,0,317
1,8,1,20,2,1,37.5,761
12,2,1,60,1,8,0,281
2,2,2,60,1,10,0,0
1,10,2,45,3,1,50,943
1,10,1,40,5,2,0,604
1,10,1,55,3,3,0,1112
1,8,2,45,5,5,42.5,688
1,10,2,40,5,4,40,936
2,2,2,25,3,10,0,232
1,2,2,30,1,5,40,691
1,8,1,60,1,4,0,3
4,10,2,35,4,2,2,101
1,8,2,65,2,3,40,766
1,8,1,65,3,10,0,323
2,5,2,45,3,4,30,682
12,2,2,20,2,10,0,0
1,4,2,65,3,8,71,1425
4,11,1,20,3,10,0,422
1,8,1,25,4,1,45,1119
1,4,2,65,2,10,0,457
3,2,2,40,2,10,0,0
1,8,2,65,1,10,0,154
1,8,1,55,5,10,0,251
1,2,2,15,3,10,0,172
1,9,2,15,1,8,0,67
1,5,2,45,2,5,10,97
1,10,2,30,3,2,40,1061
1,2,1,15,1,2,50,2080
1,10,2,20,2,5,12,184
2,5,2,40,1,8,0,-169
1,8,2,15,3,10,0,5
1,6,1,20,3,2,35,770
1,6,2,25,4,5,40,930
1,7,1,20,3,3,40,629
3,3,1,35,3,7,40,504
1,2,2,65,2,10,0,0
12,11,2,35,3,8,28,580
12,9,1,15,1,10,0,0
5,2,1,20,3,1,24,383
1,5,2,25,2,10,0,491
4,2,1,25,2,3,48,743
4,2,1,20,2,8,40,654
1,6,1,20,3,10,0,0
2,4,1,55,1,2,40,648
1,8,2,40,4,1,42,955
1,10,2,45,5,5,40,955
1,2,1,30,3,3,40,756
1,2,1,65,3,10,0,273
4,2,1,40,3,6,43,868
1,2,1,65,2,10,0,508
1,8,1,35,3,5,40,1793
4,11,2,65,1,10,0,472
1,10,1,40,3,1,0,3143
2,3,1,15,1,4,8,167
1,7,1,60,3,3,40,653
1,11,2,20,2,10,0,0
1,10,1,40,3,1,50,1573
1,11,1,50,4,5,0,3625
3,10,2,35,2,4,0,193
1,10,1,65,3,10,0,0
2,5,2,20,5,5,30,598
